16000001	CH001	Ruetlischwur AG	01012017	CH	28.6	26.48
FAC-ES02114-000002	ES010	Químicas Dintel	21022018	ES	472	400
FAC-ES02114-000008	ES006	Alcampo	28022017	ES	162.5	134.3
FAC-ES02314-000003	ES010	Químicas Dintel	25032017	ES	23562.81	19473.4
FAC-ES02314-000005	ES009	Industrias Químicas	25032017	ES	1064.8	880
FAC-ES02314-000006	ES010	Químicas Dintel	25032017	ES	8586.1	7095.95
FCL-AO01112/00000001	AO008	Angola Industrial	04012016	AO	258747.04	241692
FCL-AO01112/00000002	AO006	Distribuidora do Caxito	30012016	AO	284179.5	258345
FCL-AO01112/00000003	AO003	Farmácia Saude e Higiene	06022016	AO	92802.6	84366
FCL-AO01112/00000004	AO005	Supermercados do Marçal	02032016	AO	72520.8	65928
FCL-AO01112/00000005	AO005	Supermercados do Marçal	03042016	AO	72520.8	65928
FCL-AO01112/00000006	AO006	Distribuidora do Caxito	03052016	AO	72520.8	65928
FCL-AO01112/00000007	AO006	Distribuidora do Caxito	04062016	AO	72520.8	65928
FCL-AO01112/00000008	AO008	Angola Industrial	04072016	AO	72520.8	65928
FCL-AO01112/00000009	AO002	Ciclo Belas	03082016	AO	72520.8	65928
FCL-AO01112/00000010	AO002	Ciclo Belas	05092016	AO	52225.8	47478
FCL-AO01112/00000011	AO003	Farmácia Saude e Higiene	04102016	AO	62238	56580
FCL-AO01112/00000012	AO006	Distribuidora do Caxito	06112016	AO	63049.8	57318
FCL-AO01112/00000013	AO005	Supermercados do Marçal	04122016	AO	61967.4	56334
FCL-AO01113/00000001	AO006	Distribuidora do Caxito	23012017	AO	64692.1	58811
FCL-AO01113/00000002	AO006	Distribuidora do Caxito	25022017	AO	30539.3	27763
FCL-AO01113/00000003	AO005	Supermercados do Marçal	06032017	AO	46366.1	42151
FCL-AO01113/00000004	AO005	Supermercados do Marçal	16042017	AO	82464.8	74968
FCL-AO01113/00000005	AO003	Farmácia Saude e Higiene	14052017	AO	51370	46700
FCL-AO01113/00000006	AO008	Angola Industrial	18062017	AO	594864.6	540786
FCL-AO01113/00000007	AO005	Supermercados do Marçal	11072017	AO	141603	128730
FCL-AO01113/00000008	AO006	Distribuidora do Caxito	13082017	AO	64704.2	58822
FCL-AO01113/00000009	AO008	Angola Industrial	12092017	AO	554072.2	503702
FCL-AO01113/00000010	AO002	Ciclo Belas	22102017	AO	53589.8	48718
FCL-AO01113/00000011	AO002	Ciclo Belas	18112017	AO	74426	67660
FCL-AO01113/00000012	AO008	Angola Industrial	11122017	AO	832458	756780
FCL-AO01115/00000001	AO006	Distribuidora do Caxito	20012018	AO	177177	161070
FCL-AO01116/00000001	AO021	Agro Alimentar do Namibe	04012018	AO	64966	59060
FCL-AO01212/00000001	AO001	Luanda BTT	31012016	AO	10715375	9741250
FCL-AO01212/00000002	AO002	Ciclo Belas	29022016	AO	11298320	10271200
FCL-AO01212/00000003	AO001	Luanda BTT	30032016	AO	10715375	9741250
FCL-AO01212/00000004	AO002	Ciclo Belas	30042016	AO	11298320	10271200
FCL-AO01212/00000005	AO002	Ciclo Belas	30052016	AO	9549485	8681350
FCL-AO01212/00000006	AO001	Luanda BTT	29062016	AO	10715375	9741250
FCL-AO01212/00000007	AO001	Luanda BTT	30072016	AO	10715375	9741250
FCL-AO01212/00000008	AO002	Ciclo Belas	29082016	AO	4869095	4426450
FCL-AO01212/00000009	AO001	Luanda BTT	28092016	AO	10715375	9741250
FCL-AO01212/00000010	AO001	Luanda BTT	31102016	AO	10715375	9741250
FCL-AO01212/00000011	AO002	Ciclo Belas	30112016	AO	11881265	10801150
FCL-AO01212/00000012	AO001	Luanda BTT	28122016	AO	10715375	9741250
FCL-AO01213/00000001	AO001	Luanda BTT	30012017	AO	10715375	9741250
FCL-AO01213/00000002	AO002	Ciclo Belas	28022017	AO	11881265	10801150
FCL-AO01213/00000003	AO001	Luanda BTT	29032017	AO	10715375	9741250
FCL-AO01213/00000004	AO001	Luanda BTT	30042017	AO	10715375	9741250
FCL-AO01213/00000005	AO001	Luanda BTT	31052017	AO	10715375	9741250
FCL-AO01213/00000006	AO001	Luanda BTT	31072017	AO	10715375	9741250
FCL-AO01213/00000007	AO002	Ciclo Belas	31072017	AO	9549485	8681350
FCL-AO01213/00000008	AO002	Ciclo Belas	30082017	AO	4869095	4426450
FCL-AO01213/00000009	AO002	Ciclo Belas	30092017	AO	11298320	10271200
FCL-AO01213/00000010	AO001	Luanda BTT	31102017	AO	10715375	9741250
FCL-AO01213/00000011	AO002	Ciclo Belas	29112017	AO	11298320	10271200
FCL-AO01213/00000012	AO001	Luanda BTT	16122017	AO	10715375	9741250
FCL-AO02113/00000001	AO005	Supermercados do Marçal	30012017	AO	4233000	4150000
FCL-AO02113/00000002	AO005	Supermercados do Marçal	28022017	AO	4233000	4150000
FCL-AO02113/00000003	AO005	Supermercados do Marçal	30032017	AO	4233000	4150000
FCL-AO02113/00000004	AO005	Supermercados do Marçal	30042017	AO	4233000	4150000
FCL-AO02113/00000005	AO005	Supermercados do Marçal	30052017	AO	4233000	4150000
FCL-AO02113/00000006	AO005	Supermercados do Marçal	28062017	AO	4233000	4150000
FCL-AO02113/00000007	AO005	Supermercados do Marçal	30072017	AO	4233000	4150000
FCL-AO02113/00000008	AO005	Supermercados do Marçal	30082017	AO	4233000	4150000
FCL-AO02113/00000009	AO005	Supermercados do Marçal	30092017	AO	4233000	4150000
FCL-AO02113/00000010	AO005	Supermercados do Marçal	30102017	AO	4233000	4150000
FCL-AO02212/00000001	AO004	Distribuição Angola Farma	30012016	AO	1129599	1107450
FCL-AO02212/00000002	AO004	Distribuição Angola Farma	29022016	AO	1129599	1107450
FCL-AO02212/00000003	AO004	Distribuição Angola Farma	30032016	AO	753066	738300
FCL-AO02212/00000004	AO004	Distribuição Angola Farma	30042016	AO	753066	738300
FCL-AO02212/00000005	AO004	Distribuição Angola Farma	30052016	AO	753066	738300
FCL-AO02212/00000006	AO004	Distribuição Angola Farma	01102016	AO	1129599	1107450
FCL-AO02212/00000007	AO004	Distribuição Angola Farma	30102016	AO	1129599	1107450
FCL-AO02212/00000008	AO004	Distribuição Angola Farma	30112016	AO	1129599	1107450
FCL-AO02313/00000001	AO006	Distribuidora do Caxito	29032017	AO	2363350	2148500
FCL-AO02313/00000002	AO006	Distribuidora do Caxito	29062017	AO	869000	790000
FCL-AO02313/00000003	AO008	Angola Industrial	30092017	AO	2363130	2148300
FCL-AO02313/00000004	AO006	Distribuidora do Caxito	29112017	AO	1494350	1358500
FR0110101FACLI000001	FR003	Cybertek	12012016	FR	2789.13	2332.05
FR0110101FACLI000008	FR004	Micro Systems	01012016	FR	1200	1000
FR0110102FACLI000001	FR004	Micro Systems	24022016	FR	2693.69	2252.25
FR0110103FACLI000001	FR003	Cybertek	25032016	FR	4570.69	3821.65
FR0110104FACLI000001	FR004	Micro Systems	22042016	FR	4444.58	3716.2
FR0110105FACLI000001	FR003	Cybertek	20052016	FR	4764.98	3984.1
FR0110106FACLI000001	FR004	Micro Systems	24062016	FR	5226.28	4369.8
FR0110107FACLI000001	FR003	Cybertek	22072016	FR	2685.74	2245.6
FR0110108FACLI000001	FR004	Micro Systems	26082016	FR	2305.11	1927.35
FR0110109FACLI000001	FR003	Cybertek	23092016	FR	6882.86	5754.9
FR0110110FACLI000001	FR004	Micro Systems	21102016	FR	7133.96	5964.85
FR0110111FACLI000001	FR003	Cybertek	25112016	FR	6161.37	5151.65
FR0110112FACLI000001	FR004	Micro Systems	23122016	FR	5743.25	4802.05
FR0110202AVCLI000001	FR001	Urban Cycle	25022017	FR	89.63	74.94
FR0110204FACLI000001	FR004	Micro Systems	04042017	FR	5094.96	4260
FR0110204FACLI000002	FR004	Micro Systems	18042017	FR	2527415.31	2113223.5
FR0110204FACLI000003	FR004	Micro Systems	18042017	FR	666172	557000
FR0110205FACLI000001	FR003	Cybertek	03052017	FR	188.37	157.5
FR0110205FACLI000002	FR003	Cybertek	30052017	FR	188.37	157.5
FR0110207FACLI000001	FR003	Cybertek	28072017	FR	360	300
FR0110207FACLI000002	FR003	Cybertek	28072017	FR	1470.24	1225.2
FR0110207FACLI000003	FR001	Urban Cycle	29072017	FR	52.73	47.9
FR0110209FACLI000004	FR004	Micro Systems	24092017	FR	1614	1345
FR0110210FACLI000012	FR001	Urban Cycle	26102017	FR	17118	14265
FR0110212FACLI000002	FR010	DMI	02122017	FR	6345	5287.5
FR0110311FACLI000001	FR004	Micro Systems	19112018	FR	4199.16	3511
FR0120111FACLI000001	FR002	Vélo Attitudes	26112016	FR	3323.2	2769.33
FR0120111FACLI000002	FR002	Vélo Attitudes	30112016	FR	3323.2	2769.33
FR0120201FACLI000001	FR001	Urban Cycle	25012017	FR	4116.3	3430.25
FR0120202FACLI000001	FR001	Urban Cycle	10022017	FR	6899.74	5769.01
FR0120207AVCLI000001	FR001	Urban Cycle	29072017	FR	8539.44	7140
FR0120207AVCLI000002	FR001	Urban Cycle	29072017	FR	8539.44	7140
FR0120207AVCLI000003	FR001	Urban Cycle	29072017	FR	8539.44	7140
FR0120207AVCLI000004	FR001	Urban Cycle	29072017	FR	8539.44	7140
FR0130201FACLI000001	FR001	Urban Cycle	28012017	FR	36.59	30.49
FR0130211FACLI000001	FR009	Pharmatex	17112017	FR	5207.28	4339.4
FR0131701INVBC000001	FR009	Pharmatex	10012017	FR	6231	5192.5
FR0220204FACLI000001	FR005	Agrolim	15042017	FR	797.37	666.7
FR0220204FACLI000002	FR005	Agrolim	15042017	FR	407.66	340.85
FR0220204FACLI000003	FR005	Agrolim	15042017	FR	523.02	437.31
FR0220204FACLI000004	FR005	Agrolim	15042017	FR	894.8	748.16
FR0220204FACLI000005	FR005	Agrolim	15042017	FR	1187.09	992.55
FR0220204FACLI000006	FR005	Agrolim	15042017	FR	446.62	373.43
FR0220204FACLI000007	FR006	Kruteneau	15042017	FR	1576.81	1318.4
FR0220204FACLI000008	FR006	Kruteneau	15042017	FR	1381.94	1155.47
FR0220204FACLI000009	FR006	Kruteneau	15042017	FR	1187.09	992.55
FR0220204FACLI000010	FR006	Kruteneau	15042017	FR	602.51	503.77
FR0220204FACLI000011	FR005	Agrolim	16042017	FR	48750.46	40761.25
FR0220204FACLI000012	FR009	Pharmatex	17042017	FR	642.85	537.5
FR0220204FACLI000013	FR006	Kruteneau	17042017	FR	3915.11	3273.5
FR0220204FACLI000014	FR006	Kruteneau	17042017	FR	2551.09	2133.02
FR0220204FACLI000015	FR006	Kruteneau	17042017	FR	2745.96	2295.95
FR0220204FACLI000016	FR009	Pharmatex	17042017	FR	1892.67	1582.5
FR0220204FACLI000017	FR009	Pharmatex	17042017	FR	1580.22	1321.25
FR0220204FACLI000018	FR009	Pharmatex	18042017	FR	1267.76	1060
FR0220204FACLI000019	FR009	Pharmatex	18042017	FR	1892.67	1582.5
FR0220204FACLI000020	FR009	Pharmatex	18042017	FR	1580.22	1321.25
FR0220204FACLI000021	FR009	Pharmatex	18042017	FR	2517.58	2105
FR0220204FACLI000022	FR005	Agrolim	18042017	FR	779451.14	651715
FR0220204FACLI000023	FR009	Pharmatex	18042017	FR	2499657.94	2090015
FR0230204FACLI000001	FR007	Eurofins	17042017	FR	11757.71	9830.86
FR0230204FACLI000002	FR007	Eurofins	17042017	FR	5887.82	4922.93
FR0230204FACLI000003	FR007	Eurofins	17042017	FR	12491.44	10444.35
FR0230204FACLI000004	FR007	Eurofins	17042017	FR	11757.71	9830.86
FR0230204FACLI000005	FR007	Eurofins	17042017	FR	18361.31	15352.27
FR0230204FACLI000006	FR007	Eurofins	17042017	FR	9311.92	7785.89
FR0230204FACLI000007	FR007	Eurofins	18042017	FR	1173994.32	981600.6
FTC-PT02116/00000001	PT004	Distribuição Farmacêutica Oeiras	05092017	PT	210.95	171.5
FTC-PT02116/00000002	PT002	Bikes do Barreiro	05092017	PT	2360.12	1918.8
FTC-PT02116/00000003	PT002	Bikes do Barreiro	07092017	PT	2360.12	1918.8
FTC-PT02116/00000004	PT002	Bikes do Barreiro	08092017	PT	2360.12	1918.8
FTC-PT02116/00000005	PT004	Distribuição Farmacêutica Oeiras	08092017	PT	2109.45	1715
FTC-PT02116/00000006	PT004	Distribuição Farmacêutica Oeiras	08092017	PT	2109.45	1715
FTC-PT02116/00000007	PT002	Bikes do Barreiro	08092017	PT	2360.12	1918.8
FTC-PT02116/00000008	PT002	Bikes do Barreiro	08092017	PT	2360.12	1918.8
FTC-PT02116/00000009	PT002	Bikes do Barreiro	08092017	PT	2360.12	1918.8
FTC-PT02116/00000010	PT002	Bikes do Barreiro	12092017	PT	2360.12	1918.8
FTC-PT02116/00000011	PT002	Bikes do Barreiro	12092017	PT	2360.12	1918.8
FTC-PT03115/00000002	PT001	As Bicicletas do Norte	28072017	PT	11862.21	9644.07
FTC-PT03115/00000003	PT001	As Bicicletas do Norte	28072017	PT	9418.31	7657.16
FTC-PT03115/00000004	PT021	Agro Natura	05082017	PT	639.6	520
FTC-PT03215/00000002	PT002	Bikes do Barreiro	28082017	PT	1401.56	1139.48
FTC-PT03215/00000003	PT001	As Bicicletas do Norte	31082017	PT	68.06	55.33
FTC-PT03215/00000004	PT001	As Bicicletas do Norte	31082017	PT	68.06	55.33
FTC-PT03215/00000005	PT001	As Bicicletas do Norte	31082017	PT	84253.77	68499
GU14DE012000001	DE002	Bike & Outdoor Company GmbH	10042017	DE	51427.34	43216.25
GU14DE012000002	DE002	Bike & Outdoor Company GmbH	14042017	DE	51427.34	43216.25
GU15DE011000001	DE003	Computer & Zubehör GmbH	18022017	DE	922.25	775
INV000001	NA003	Fun Times Stores	15012016	US	5289	5289
INV000003	NA008	Aldermans	27012017	US	324.4	324.4
LT10190000006	A123	Maxima	05032019	LT	6.05	5
LT10190000008	BD_PIRK02	BD antras UAB	07032019	LT	12.1	10
LT10190000009	BD_PROD	Pagrindinis biuras	12082019	LT	1573	1300
LT10190000010	BD_PROD	Pagrindinis biuras	13082019	LT	1573	1300
LT1021804INVBC000001	KR_PIRK01	Pirkėjas pirmas UAB	12042018	LT	48.4	40
LT1031805INVBC000001	BD_PIRK01	BD pirkėjas pirmas UAB	29052018	LT	54.45	45
LT1041806INVBC000001	VR_001	Schoeller	09062018	LT	14520	12000
LT1041806INVBC000002	VR_001	Schoeller	11062018	LT	12100	10000
LT2011903INVBC000001	A123	Maxima	05032019	LT	3.63	3
LV0211903INVBC000001	LVK19001	Latvijas Demo filiāle 1	21032019	LV	3.32	2.96
LV0211903INVBC000002	LVK19001	Latvijas Demo filiāle 1	21032019	LV	29.12	26
LV1011802INVBC000001	LVK18001	Testa klients SIA	21022018	LV	48.4	40
LV1011802INVBC000002	LVK18001	Testa klients SIA	21022018	LV	766.47	633.45
LV1011803INVBC000001	LVK18001	Testa klients SIA	20032018	LV	605	500
LV1011803INVBC000002	LVK18001	Testa klients SIA	23032018	LV	6897	5700
LV1011803INVBC000004	LVK18001	Testa klients SIA	28032018	LV	7381	6100
LV1011806INVBC000001	LVK18001	Testa klients SIA	01062018	LV	48.4	40
LV1011806INVBC000002	LVK18003	Testa klients 2, SIA	01062018	LV	7260	6000
LV1011807INVBC000001	LVK18001	Testa klients SIA	11072018	LV	6050	5000
LV1011807INVBC000002	LVK18003	Testa klients 2, SIA	11072018	LV	6050	5000
LV1011807INVBC000003	LVK18001	Testa klients SIA	31072018	LV	121	100
LV1011807INVBC000004	LVK18001	Testa klients SIA	31072018	LV	6050	5000
LV1011807INVBC000005	LVK18001	Testa klients SIA	31072018	LV	1210	1000
LV1011808INVBC000001	LVK18001	Testa klients SIA	13082018	LV	36300	30000
LV1011808INVBC000002	LVK18001	Testa klients SIA	13082018	LV	653.4	540
LV1011808INVBC000003	LVK18001	Testa klients SIA	21082018	LV	48.4	40
LV1011808INVBC000004	LVK18001	Testa klients SIA	21082018	LV	48.4	40
LV1011809INVBC000001	LVK18001	Testa klients SIA	04092018	LV	484	400
LV1011809INVBC000002	LVK18001	Testa klients SIA	05092018	LV	60.5	50
LV1011809INVBC000003	LVK18001	Testa klients SIA	05092018	LV	5685.16	4698.48
LV1011809INVBC000004	LVK18001	Testa klients SIA	05092018	LV	4974.52	4111.17
LV1011809INVBC000005	LVK18001	Testa klients SIA	07092018	LV	0	0
LV1011809INVBC000006	LVK18001	Testa klients SIA	07092018	LV	242	200
LV1011809INVBC000007	LVK18001	Testa klients SIA	10092018	LV	96.8	80
LV1011809INVBC000008	LVK18001	Testa klients SIA	10092018	LV	150	150
LV1011811INVBC000001	LVK18001	Testa klients SIA	14112018	LV	1253.56	1036
LV1011812INVBC000001	LVK18001	Testa klients SIA	19122018	LV	243.21	201
LV1011812INVBC000002	LVK18001	Testa klients SIA	20122018	LV	156.82	129.6
LV1011903INVBC000001	LVK18001	Testa klients SIA	22032019	LV	45.7	40.8
LV1011906INVBC000001	LVK18001	Testa klients SIA	11062019	LV	2.42	2
NA0111302INV000001	NA001	International Distributors	27012016	US	639749.5	639749.5
NA0111302INV000002	NA002	Amalgamate Supply	27012016	US	639749.5	639749.5
NA0111302INV000003	NA002	Amalgamate Supply	24022016	US	639749.5	639749.5
NA0111302INV000004	NA001	International Distributors	24022016	US	628694.5	628694.5
NA0111302INV000005	NA001	International Distributors	28032016	US	492349.5	492349.5
NA0111302INV000006	NA001	International Distributors	01032016	US	11055	11055
NA0111302INV000007	NA001	International Distributors	29032016	US	147400	147400
NA0111302INV000008	NA002	Amalgamate Supply	29032016	US	628694.5	628694.5
NA0111302INV000009	NA002	Amalgamate Supply	29032016	US	11055	11055
NA0111302INV000010	NA001	International Distributors	27042016	US	639749.5	639749.5
NA0111302INV000011	NA002	Amalgamate Supply	27042016	US	632607.3	632607.3
NA0111303INV000001	NA002	Amalgamate Supply	19052016	US	63643.3	63643.3
NA0111303INV000002	NA001	International Distributors	19052016	US	63643.3	63643.3
NA0111303INV000003	NA001	International Distributors	23062016	US	599112.66	599112.66
NA0111303INV000004	NA002	Amalgamate Supply	28062016	US	611810.5	611810.5
NA0111303INV000005	NA001	International Distributors	25072016	US	620223.02	620223.02
NA0111303INV000006	NA002	Amalgamate Supply	25072016	US	519719	519719
NA0111303INV000007	NA002	Amalgamate Supply	29082016	US	187734	187734
NA0111303INV000008	NA001	International Distributors	01032017	US	143514	143514
NA0111303INV000009	NA001	International Distributors	13092016	US	624875.5	624875.5
NA0111303INV000010	NA002	Amalgamate Supply	14092016	US	589700.5	589700.5
NA0111303INV000011	NA001	International Distributors	28102016	US	639749.5	639749.5
NA0111303INV000012	NA002	Amalgamate Supply	24102016	US	639689.2	639689.2
NA0111303INV000013	NA001	International Distributors	22112016	US	345364.9	345364.9
